v_[km/s],"f(v,gamma)_[s/km]"
1.0,7.444964037579779e-08
1.8468761744797573,2.539406557130012e-07
3.4109516038609833,8.661389737022178e-07
6.299605249474366,2.953888914797718e-06
11.634590843881814,1.0070108663162446e-05
21.487648629385653,3.4284904399450714e-05
39.68502629920499,0.00011619536441706405
73.29332955560427,0.00038736809471701854
135.36370410453853,0.0012097093405984906
150.0,0.0014395418395686135
194.21052631578948,0.0021307747328140267
238.42105263157896,0.0026964209414104996
249.99999999999994,0.0028061793301303126
282.63157894736844,0.003006616339791016
326.8421052631579,0.00300064678020129
371.0526315789474,0.0027079028079418062
415.2631578947368,0.0022276130190661205
459.4736842105263,0.0016746335268992864
503.6842105263158,0.00115655698348817
547.8947368421052,0.0007328782823533699
592.1052631578948,0.0004253988456079177
636.3157894736842,0.0002177258092997599
680.5263157894736,9.134836023927823e-05
724.7368421052631,3.1670209509208e-05
768.9473684210526,2.0534033096659404e-06
813.1578947368421,0.0
857.3684210526316,0.0
901.578947368421,0.0
945.7894736842105,0.0
990.0,0.0
